Hidden Nodes	Visible Nodes	Connections	Error (CD)	Error (PSO)		Hidden Nodes	Visible Nodes	Connections	Iterations (CD)	Iterations (PSO)
5	3	23	0.12333	0.0		5	3	23	199	65	
5	6	41	0.40833	0.07833		5	6	41	199	869	
5	9	59	0.30333	0.13111		5	9	59	199	873	
5	12	77	0.23417	0.245		5	12	77	199	596	
5	15	95	0.352	0.242		5	15	95	199	1181	
5	18	113	0.32778	0.26556		5	18	113	199	1500	
5	21	131	0.30143	0.22333		5	21	131	199	1156	
5	24	149	0.31125	0.21542		5	24	149	199	1500	
5	27	167	0.21556	0.20481		5	27	167	199	1500	
5	30	185	0.37133	0.24567		5	30	185	199	1058	
5	33	203	0.1803	0.22242		5	33	203	199	1500	
5	36	221	0.23028	0.20694		5	36	221	199	1500	
5	39	239	0.20154	0.26154		5	39	239	199	1012	
5	42	257	0.14071	0.34667		5	42	257	199	949	
5	45	275	0.28867	0.23422		5	45	275	199	1500	
5	48	293	0.35188	0.27187		5	48	293	199	1133	
5	51	311	0.26	0.31686		5	51	311	199	574	
5	54	329	0.06444	0.23815		5	54	329	199	1500	
5	57	347	0.25439	0.25702		5	57	347	199	1022	
5	60	365	0.31517	0.28433		5	60	365	199	1500	
5	63	383	0.00111	0.27889		5	63	383	199	1500	
5	66	401	0.08091	0.23682		5	66	401	199	1500	
5	69	419	0.00116	0.30826		5	69	419	165	1500	
5	72	437	0.13069	0.23208		5	72	437	199	1500	
5	75	455	0.27213	0.2516		5	75	455	199	1500	
15	3	63	0.00333	0.01		15	3	63	41	50	
15	6	111	0.00667	0.05833		15	6	111	87	568	
15	9	159	0.15444	0.13556		15	9	159	199	694	
15	12	207	0.3125	0.11417		15	12	207	199	981	
15	15	255	0.194	0.16733		15	15	255	199	1329	
15	18	303	0.105	0.22111		15	18	303	199	776	
15	21	351	0.1181	0.18095		15	21	351	199	1500	
15	24	399	0.02	0.19542		15	24	399	199	1326	
15	27	447	0.03222	0.21481		15	27	447	199	1044	
15	30	495	0.25867	0.252		15	30	495	199	537	
15	33	543	0.0603	0.21061		15	33	543	199	873	
15	36	591	0.00278	0.255		15	36	591	199	1332	
15	39	639	0.13821	0.20487		15	39	639	199	666	
15	42	687	0.00405	0.19786		15	42	687	199	1500	
15	45	735	0.07111	0.27356		15	45	735	199	573	
15	48	783	0.10979	0.235		15	48	783	199	979	
15	51	831	0.00137	0.2602		15	51	831	183	980	
15	54	879	0.06667	0.23093		15	54	879	199	1500	
15	57	927	0.04649	0.25175		15	57	927	199	910	
15	60	975	5.0E-4	0.1915		15	60	975	199	1500	
15	63	1023	3.2E-4	0.20937		15	63	1023	84	1500	
15	66	1071	0.11348	0.28652		15	66	1071	199	844	
15	69	1119	4.3E-4	0.19638		15	69	1119	148	882	
15	72	1167	2.8E-4	0.20569		15	72	1167	123	1500	
15	75	1215	6.7E-4	0.16827		15	75	1215	168	1500	
25	3	103	0.00333	0.0		25	3	103	15	0	
25	6	181	0.00667	0.01		25	6	181	119	578	
25	9	259	0.05333	0.02333		25	9	259	199	729	
25	12	337	0.05833	0.0775		25	12	337	199	656	
25	15	415	0.202	0.05867		25	15	415	199	1046	
25	18	493	0.04833	0.10889		25	18	493	199	1054	
25	21	571	0.03714	0.13524		25	21	571	199	477	
25	24	649	0.11958	0.16708		25	24	649	199	1499	
25	27	727	0.00407	0.16444		25	27	727	199	800	
25	30	805	0.00433	0.17533		25	30	805	180	593	
25	33	883	0.00242	0.2197		25	33	883	199	646	
25	36	961	0.00139	0.16111		25	36	961	166	1246	
25	39	1039	0.06256	0.16077		25	39	1039	199	1223	
25	42	1117	0.00119	0.16643		25	42	1117	87	1500	
25	45	1195	0.00111	0.19689		25	45	1195	199	1334	
25	48	1273	8.3E-4	0.19604		25	48	1273	199	1500	
25	51	1351	5.9E-4	0.17725		25	51	1351	199	1500	
25	54	1429	7.4E-4	0.18556		25	54	1429	124	1182	
25	57	1507	3.5E-4	0.15474		25	57	1507	131	1500	
25	60	1585	0.001	0.20183		25	60	1585	62	1410	
25	63	1663	7.9E-4	0.23746		25	63	1663	151	1500	
25	66	1741	7.6E-4	0.19		25	66	1741	65	1500	
25	69	1819	1.4E-4	0.20087		25	69	1819	148	1457	
25	72	1897	6.9E-4	0.21875		25	72	1897	110	1500	
25	75	1975	8.0E-4	0.20413		25	75	1975	46	1500	
