Hidden Nodes	Visible Nodes	Connections	Error (CD)	Error (PSO)		Hidden Nodes	Visible Nodes	Connections	Iterations (CD)	Iterations (PSO)
5	3	23	0.4	0.01333		5	3	23	199	315	
5	6	41	0.26833	0.09833		5	6	41	199	731	
5	9	59	0.31667	0.24111		5	9	59	199	470	
5	12	77	0.34	0.3225		5	12	77	199	809	
5	15	95	0.18933	0.304		5	15	95	199	1500	
5	18	113	0.23667	0.30611		5	18	113	199	1136	
5	21	131	0.27857	0.29048		5	21	131	199	1435	
5	24	149	0.30333	0.29		5	24	149	199	889	
5	27	167	0.27185	0.34111		5	27	167	199	1345	
5	30	185	0.34167	0.35467		5	30	185	199	495	
5	33	203	0.36	0.34212		5	33	203	199	1500	
5	36	221	0.39833	0.40167		5	36	221	199	746	
5	39	239	0.27077	0.32359		5	39	239	199	1254	
5	42	257	0.16952	0.3369		5	42	257	109	933	
5	45	275	0.19467	0.30578		5	45	275	86	1500	
5	48	293	0.25042	0.33292		5	48	293	199	842	
5	51	311	0.22784	0.34529		5	51	311	73	959	
5	54	329	0.18296	0.28889		5	54	329	199	1500	
5	57	347	0.22702	0.30281		5	57	347	104	1355	
5	60	365	0.25617	0.34417		5	60	365	199	721	
5	63	383	0.18635	0.38714		5	63	383	121	434	
5	66	401	0.34773	0.43152		5	66	401	199	648	
5	69	419	0.15783	0.33072		5	69	419	146	1483	
5	72	437	0.13319	0.30125		5	72	437	85	1500	
5	75	455	0.23733	0.33787		5	75	455	86	749	
15	3	63	0.00667	0.0		15	3	63	27	22	
15	6	111	0.115	0.045		15	6	111	199	969	
15	9	159	0.18778	0.15889		15	9	159	199	824	
15	12	207	0.18583	0.1425		15	12	207	199	1124	
15	15	255	0.18467	0.15933		15	15	255	199	1227	
15	18	303	0.17667	0.29167		15	18	303	181	779	
15	21	351	0.14905	0.21429		15	21	351	136	984	
15	24	399	0.20125	0.23542		15	24	399	133	965	
15	27	447	0.16963	0.25111		15	27	447	59	953	
15	30	495	0.23567	0.28067		15	30	495	199	747	
15	33	543	0.29788	0.22212		15	33	543	199	1152	
15	36	591	0.16167	0.33222		15	36	591	42	652	
15	39	639	0.20333	0.31308		15	39	639	58	501	
15	42	687	0.17548	0.275		15	42	687	80	1460	
15	45	735	0.27667	0.286		15	45	735	199	971	
15	48	783	0.25167	0.32896		15	48	783	199	418	
15	51	831	0.23314	0.30098		15	51	831	70	1073	
15	54	879	0.29537	0.31611		15	54	879	199	818	
15	57	927	0.22684	0.29772		15	57	927	58	894	
15	60	975	0.17967	0.293		15	60	975	62	1055	
15	63	1023	0.20556	0.2919		15	63	1023	50	860	
15	66	1071	0.13621	0.24318		15	66	1071	74	1500	
15	69	1119	0.15261	0.30333		15	69	1119	53	916	
15	72	1167	0.12486	0.29		15	72	1167	102	1429	
15	75	1215	0.23907	0.29707		15	75	1215	199	893	
25	3	103	0.01333	0.01333		25	3	103	40	17	
25	6	181	0.095	0.05167		25	6	181	199	368	
25	9	259	0.19889	0.11556		25	9	259	199	730	
25	12	337	0.14917	0.105		25	12	337	199	1500	
25	15	415	0.15067	0.12		25	15	415	78	1500	
25	18	493	0.185	0.15889		25	18	493	185	1500	
25	21	571	0.13857	0.27952		25	21	571	142	416	
25	24	649	0.19375	0.19875		25	24	649	199	1026	
25	27	727	0.17481	0.2363		25	27	727	87	1492	
25	30	805	0.22567	0.24033		25	30	805	79	1500	
25	33	883	0.20818	0.29788		25	33	883	66	744	
25	36	961	0.15972	0.22083		25	36	961	76	1143	
25	39	1039	0.20308	0.21769		25	39	1039	65	663	
25	42	1117	0.16905	0.27548		25	42	1117	57	822	
25	45	1195	0.17956	0.25356		25	45	1195	66	1115	
25	48	1273	0.16667	0.26583		25	48	1273	114	1426	
25	51	1351	0.22451	0.28		25	51	1351	23	1096	
25	54	1429	0.17537	0.33056		25	54	1429	47	1165	
25	57	1507	0.2286	0.25614		25	57	1507	91	1287	
25	60	1585	0.20117	0.2865		25	60	1585	62	618	
25	63	1663	0.1846	0.30317		25	63	1663	68	506	
25	66	1741	0.13212	0.24833		25	66	1741	199	1069	
25	69	1819	0.15986	0.30551		25	69	1819	88	1260	
25	72	1897	0.12944	0.26278		25	72	1897	136	1500	
25	75	1975	0.23427	0.28733		25	75	1975	67	1096	
